ItemLabels,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Year on Year %,Month on Month %,high state,higher price,low state,lower price
Agric eggs medium size,597,591.82,586.32,526.32,528.42,526.5,468.24,492.63,473.68,461.25,459.41,473.89,400,490.53,512.77,482.38,462.35,496.92,477.04,503.81,2.27,5.61,Anambra,555.56,Yobe ,405.56
Agric eggs(medium size price of one),50.74,54.14,51.05,49.41,49.28,45.43,40.88,41.18,40.31,40.15,41.51,40.94,35,40.79,40.65,39.05,41.14,39.23,40.19,42.57,3.39,5.94,Anambra,50,Gombe ,34
"Beans brown,sold loose",416.7,418.1,395.17,358.96,388.76,412.53,424.56,488.13,484.87,480.76,472.79,417.56,417.56,420.5,455.47,461.71,400,457.55,495.9,467.76,-4.17,-5.67,Ebonyi,554.43,Bauchi ,250.19
Beans:white black eye. sold loose,364.85,354.73,356.56,348.42,386.97,411.22,409.92,402.11,406.27,395.79,395.79,404.78,450,409.8,453.27,441.54,526.36,530.75,443.56,446.56,11.06,0.68,Ebonyi ,493.76,Adamawa ,245.58
Beef Bone in,1008.16,1025.56,1124.77,1055.56,1132.64,1169.07,1111.11,1122.83,1192.13,1129.17,1151.19,1525.93,1525.93,1314.46,1126.19,1090.74,1500,1320.59,1256.79,1230,9.54,-2.13,Bayelsa ,1279.19,Osun ,754.05
"Beef,boneless",1363.31,1378.88,1320.91,1264.91,1404.39,1472.63,1451.51,1673.78,1640.57,1633.33,1691.18,1689.19,1389.19,1207.18,1238.76,1250.97,1344.02,1324.71,1326.05,1522.5,-9.04,14.81,Lagos ,1522.5,Oyo ,939.72
Bread sliced 500g,308.05,304,299.52,289.47,294.21,307.62,291.18,272.22,266.67,258.46,250.24,309.38,350,328.21,339.52,297.62,295.56,296.32,305.17,295,8.37,-3.33,Bayelsa ,414.55,Jigawa ,238.89
Bread unsliced 500g,265.81,256.39,259,253.89,260,250,238,267.5,272.22,265,256.25,250,300,252.78,298.81,252.27,262.96,241.3,256.07,247.62,-7.43,-3.3,Bayelsa ,413.64,Yobe,227.27
Broken Rice (Ofada),720.61,712.3,709.26,705.56,699.4,698.09,689.31,566.34,562.3,548.27,548.27,575.86,641.67,588.69,566.58,578.24,602.58,661.46,610.54,578.69,2.18,-5.22,Oyo ,760.81,Benue ,233.33
Chicken Feet,998.83,970,950,916.67,1025,1100,1140,1066.67,1067.2,1000,940,1141.67,1141.67,925,875.57,792.86,811.8,875,1036.36,970,-9.06,-6.4,Ondo ,1240,Taraba ,348.33
